Category,Companies,Description,Additional Info,Location,City,Additional Info 2,Contact,Companies_full,url,Latitude,Longitude,Latitude_City,Longitude_City
Companies developing Advanced Medicines,Australian Foundation for Diabetes Research,medical device containing Kadimastem produced hESC derived  islets,,Sydney,Sydney,,Bernie Tuch,,,-33.8698439,151.2082848,46.3144754,11.0480288
,Research Australia Limited,,,"384 Victoria Street, Darlinghurst NSW 2010",Sydney,,,Research Australia Limited,http://researchaustralia.org/,-33.8790883,151.2212157,46.3144754,11.0480288
,Heart Research Institute,,,"7 Eliza Street, Newtown NSW 2042",Sydney,,,Heart Research Institute,https://www.hri.org.au/,-33.89634,151.1788062,46.3144754,11.0480288
,Ingham Institute for Applied Medical Research,,,"1 Campbell Street, Liverpool NSW 2170",Sydney,,,Ingham Institute for Applied Medical Research,http://www.inghaminstitute.org.au/,-33.9182993,150.9278886,46.3144754,11.0480288
,"University of Technology Sydney , Faculty of Science",,,,Sydney,,,"University of Technology Sydney , Faculty of Science",https://www.uts.edu.au/about/faculty-science,46.3144754,11.0480288,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),Aegros,blood derived medicinal products,https://aegros.com.au/,Sydney,Sydney,,Stephen Mahler,,https://aegros.com.au/,-33.8698439,151.2082848,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Children's Hospital at Westmead,,"gene modified PBMC, CAR T, allo CAR T",Sydney,Sydney,"Prof Ian Alexander, Dr Kenneth Micklethwaite, Aditi Mehta, DO","Prof Ian Alexander, Dr Kenneth Micklethwaite, Aditi Mehta, DO",,,-33.8698439,151.2082848,46.3144754,11.0480288
Approved commercial treatment centres,The Childrens Hospital at Westmead,,Kymriah for acute lymphoblastic leukaemia (< 18 years old),Sydney,Sydney,,,,,-33.8698439,151.2082848,46.3144754,11.0480288
Approved commercial treatment centres,Townsville commercial site,,,,Townsville,,,,,46.3144754,11.0480288,,
Research facilities,University of Wollongong,,,,Wollongong,,Jeremy Crook,,,46.3144754,11.0480288,,
INTERNATIONAL BUT KNOWN TO SPONSOR,ABER Instruments,viable cell density in bioreactor,https://aberinstruments.com/biotech/,,,,David Anderson,,https://aberinstruments.com/biotech/,46.3144754,11.0480288,,
INTERNATIONAL BUT KNOWN TO SPONSOR,ACRO Biosystems,"recombinant proteins, media, cytokines, PK, QC, Toxicity, pharmacodynamic, potency assays",https://www.acrobiosystems.com/,,,,Spencer Chiang,,https://www.acrobiosystems.com/,46.3144754,11.0480288,,
,Adjutor Healthcare Pty Ltd,,,,,,,Adjutor Healthcare Pty Ltd,https://www.adjutor.com.au/,46.3144754,11.0480288,,
Other RM product developers,Admedus Ltd,,shut down?,,,,,,,46.3144754,11.0480288,,
Supporting initiatives,Advanced Manufacturing Growth Centre,,https://www.amgc.org.au/,,,,,,https://www.amgc.org.au/,46.3144754,11.0480288,,
non TGA licensed phase 0/1 manufacture facilities,Alfred Hospital,"Skin Bioengineering Lab, upgrading and building cell therapy facility, to be completed 2024",,,,,Shiva Akbarzadeh,,,46.3144754,11.0480288,,
Clinical CRO,Analytical CRO,,,,,,,,,46.3144754,11.0480288,,
Other RM product developers,Anatomics Pty Ltd,,https://www.anatomics.com/,,,,,,https://www.anatomics.com/,46.3144754,11.0480288,,
Supporting initiatives,ASSCR,To support stem cell research and encourage scientific exchange within our region,https://asscr.org/,,,,Anai Gonzalez Cordero,,https://asscr.org/,46.3144754,11.0480288,,
Clinical trials of Advanced Medicines,Atara Biotherapeutics,,https://www.atarabio.com/,,,,,,https://www.atarabio.com/,46.3144754,11.0480288,,
,Aucentra Therapeutics,,,,,,,Aucentra Therapeutics,https://www.aucentra.com/about/,46.3144754,11.0480288,,
Supporting initiatives,Australasian Gene and Cell Therapy Society,facilitate the growth and development of the field of gene and cell therapy in Australasia,https://agcts.org.au/,,,,Leszek Lisowski,,https://agcts.org.au/,46.3144754,11.0480288,,
Supporting initiatives,Australasian Society for Biomaterials and Tissue Engineering,"national focus for professionals who have interests in research, education, development and regulation of biomaterials, tissue engineering and medical devices.",https://www.asbte.org/,,,,Mark Allenby,,https://www.asbte.org/,46.3144754,11.0480288,,
Supporting initiatives,Australia and New Zealand Transplant and Cellular Therapies Ltd (ANZTCT),"society consisting of clinicians, advanced trainees, scientists, medical graduates, nurses and pharmacists, involved in the clinical or laboratory management of patients undergoing blood or marrow stem cell transplantation or with an interest in the field of blood or marrow stem cell transplantation and cellular therapies research.",https://anztct.org.au/,,,,,,https://anztct.org.au/,46.3144754,11.0480288,,
Supporting initiatives,Australian Organoid facility,,,,,,,,,46.3144754,11.0480288,,
,Australian Trade & Investment Commission (Austrade),,,,,,,Australian Trade & Investment Commission (Austrade),http://www.austrade.gov.au/,46.3144754,11.0480288,,
,Avatar Brokers Pty. Limited *special member discount,,,,,,,Avatar Brokers Pty. Limited *special member discount,,46.3144754,11.0480288,,
Institutions treating patients with CGT pharmaceuticals,Barwon Health,,GT Osteoarthritis,,,"Alison Heald, MD","Alison Heald, MD",,,46.3144754,11.0480288,,
,Base Bio Consulting Pty Ltd,,,,,,,Base Bio Consulting Pty Ltd,https://www.basebio.com.au/,46.3144754,11.0480288,,
Commercialisation strategy,Beyond Drug Development,,https://www.beyonddrugdev.com/,,,,,,https://www.beyonddrugdev.com/,46.3144754,11.0480288,,
Clinical trials of Advanced Medicines,Biogen Inc,,,,,,,,,46.3144754,11.0480288,,
Clinical trials of Advanced Medicines,BioMarin Pharmaceutical Inc.,,,,,,,,,46.3144754,11.0480288,,
,BiomeBank,,,,,,,BiomeBank,https://www.biomebank.com/,46.3144754,11.0480288,,
Companies developing Advanced Medicines,BioNTech,,,,,,,,,46.3144754,11.0480288,,
Supporting initiatives,BioProcessing Network,"association of scientists, engineers, students and others interested in fostering and advancing the knowledge and understanding of the technical aspects of the biotechnology industry.",https://www.bioprocessingnetwork.org.au/,,,,,,https://www.bioprocessingnetwork.org.au/,46.3144754,11.0480288,,
,BioTech Primer Inc.,,,,,,,BioTech Primer Inc.,http://biotechprimer.com/,46.3144754,11.0480288,,
,Bridge Investment Research,,,,,,,Bridge Investment Research,https://chriskallos.com.au/,46.3144754,11.0480288,,
,Cambium Bio Limited,,,,,,,Cambium Bio Limited,https://www.cambium.bio/,46.3144754,11.0480288,,
Clinical trials of Advanced Medicines,Celgene Corp,,,,,,,,,46.3144754,11.0480288,,
Cell and Tissue repositories,Cellcare,,www.cellcare.com.au,,,,,,www.cellcare.com.au,46.3144754,11.0480288,,
INTERNATIONAL BUT KNOWN TO SPONSOR,CellVec,CDMO viral vector manufacture,https://cellvec.com/,,,,,,https://cellvec.com/,46.3144754,11.0480288,,
Companies developing Advanced Medicines,Celosia Therapeutics Pty Ltd,gene therapy ALS/MND/LGD/AD/dementia/dravet syndrome,https://celosiatx.com/,,,,Brenton Hamdorf,,https://celosiatx.com/,46.3144754,11.0480288,,
Process development only facilities,Centre for Advanced Therapies (CAT) at Royal Perth Hospital,launch November 2023,,,,,,,,46.3144754,11.0480288,,
Process development only facilities,"Centre of Excellence in Cellular Immunotherapies, Peter Mac","Australian IP Accelerator, Commonwealth-funded",,,,,,,,46.3144754,11.0480288,,
,Certa Therapeutics,,,,,,,Certa Therapeutics,http://www.certatherapeutics.com/,46.3144754,11.0480288,,
Commercialisation strategy,Clinical consulting,,,,,,,,,46.3144754,11.0480288,,
non TGA autologous MSC transplant,Clinical Stem Cells,,www.clinicalstemcells.com,,,,,,www.clinicalstemcells.com,46.3144754,11.0480288,,
Process development only facilities,CSIRO - Recombinant Protein Production and Purification Facility,"This is, or should be cGMP compliant/TGA licensed",https://www.csiro.au/en/work-with-us/use-our-labs-facilities/recombinant-protein-facility,,,,John Power,,https://www.csiro.au/en/work-with-us/use-our-labs-facilities/recombinant-protein-facility,46.3144754,11.0480288,,
Clinical trials of Advanced Medicines,Cynata Therapeutics Ltd,,,,,,,,,46.3144754,11.0480288,,
,Datapharm Australia Pty Ltd,,,,,,,Datapharm Australia Pty Ltd,http://datapharmaustralia.com/,46.3144754,11.0480288,,
,De Motu Cordis Pty Ltd,,,,,,,De Motu Cordis Pty Ltd,http://www.demotucordis.co/,46.3144754,11.0480288,,
,Deloitte,,,,,,,Deloitte,https://www2.deloitte.com/au/en/pages/about-deloitte/articles/about-deloitte-australia.html,46.3144754,11.0480288,,
,DLA Piper Australia,,,,,,,DLA Piper Australia,https://www.dlapiper.com/,46.3144754,11.0480288,,
,Doherty Clinical Trials Ltd,,,,,,,Doherty Clinical Trials Ltd,https://www.dohertyclinicaltrials.com/,46.3144754,11.0480288,,
,ENA Respiratory,,,,,,,ENA Respiratory,https://enarespiratory.com/,46.3144754,11.0480288,,
,EpiAxis TherapeuticsEpichem Pty Ltd,,,,,,,EpiAxis TherapeuticsEpichem Pty Ltd,https://www.epiaxistherapeutics.com/,46.3144754,11.0480288,,
Advanced Medicine tools providers - with physical presence in Australia,Eppendorf,"environmental monitoring, pumps, connectors, tubing, freezers, chemicals, consumables",www.eppendorf.com,,,,,,www.eppendorf.com,46.3144754,11.0480288,,
,ERA Consulting,,,,,,,ERA Consulting,https://www.biopharma-excellence.com/,46.3144754,11.0480288,,
,Evrima Technologies Pty Ltd,,,,,,,Evrima Technologies Pty Ltd,https://www.evrima.com/,46.3144754,11.0480288,,
,"Facet Life Sciences, inc.",,,,,,,"Facet Life Sciences, inc.",http://facetlifesciences.com/,46.3144754,11.0480288,,
,FivepHusion,,,,,,,FivepHusion,https://fivephusion.com/,46.3144754,11.0480288,,
Supporting initiatives,Foundation for the Accreditation of Cellular Therapies (FACT),Setting the global standard for high quality patient care in cellular therapies,https://factglobal.org/,,,,Ngaire Elwood,,https://factglobal.org/,46.3144754,11.0480288,,
Advanced Medicine tools providers - with physical presence in Australia,GenScript,,https://www.genscript.com/,,,,,,https://www.genscript.com/,46.3144754,11.0480288,,
Clinical trials of Advanced Medicines,GlaxoSmithKline,,,,,,,,,46.3144754,11.0480288,,
,GPN Vaccines,,,,,,,GPN Vaccines,https://gpnvaccines.com/,46.3144754,11.0480288,,
Clinical CRO,GreenLight Clinical Pty Ltd,,,,,,,,,46.3144754,11.0480288,,
,Gretals Australia Pty Ltd,,,,,,,Gretals Australia Pty Ltd,https://www.gretals.com/,46.3144754,11.0480288,,
,Health and Medical Industries,,,,,,,Health and Medical Industries,https://dti.sa.gov.au/,46.3144754,11.0480288,,
,Hunton executive Recruitment and Consulting Pty Ltd,,,,,,,Hunton Executive Recruitment and Consulting Pty Ltd,https://www.huntonexecutive.com/,46.3144754,11.0480288,,
,ImpactXHealth,,,,,,,ImpactXHealth,https://www.impactxhealth.com/,46.3144754,11.0480288,,
Advanced Medicine tools providers - with physical presence in Australia,In Vitro Technologies,,www.invitro.com.au,,,,Daina Elliott,,www.invitro.com.au,46.3144754,11.0480288,,
,Institute for Glycomics,,,,,,,Institute for Glycomics,https://www.griffith.edu.au/institute-glycomics,46.3144754,11.0480288,,
Advanced Medicine tools providers - with physical presence in Australia,Invetech,,https://www.invetechgroup.com/,,,,,,https://www.invetechgroup.com/,46.3144754,11.0480288,,
Funding sources,IP Group Pty Ltd,,https://www.ipgroupanz.com/,,,,,,https://www.ipgroupanz.com/,46.3144754,11.0480288,,
Commerical providers of Advanced Medicines,Janssen-Cilag,Ex-vivo gene/cell therapy Carvykti.,,,,,,,,46.3144754,11.0480288,,
,Kantara Consulting,,,,,,,Kantara Consulting,https://kantaraconsulting.com.au/,46.3144754,11.0480288,,
,Labcorp,,,,,,,Labcorp,https://www.labcorp.com/,46.3144754,11.0480288,,
Advanced Medicine tools providers - with physical presence in Australia,LONZA,,www.lonzaboiscience.com.au,,,,Chong-Meng Chai,,www.lonzaboiscience.com.au,46.3144754,11.0480288,,
,Lusid Pty Ltd,,,,,,,Lusid Pty Ltd,,46.3144754,11.0480288,,
,Macarthur Human Capital,,,,,,,Macarthur Human Capital,https://www.macarthurhc.com.au/,46.3144754,11.0480288,,
,Macquarie University - Faculty of Medicine & Health Sciences,,,,,,,Macquarie University - Faculty of Medicine & Health Sciences,http://www.mq.edu.au/about/about-the-university/faculties-and-departments/faculty-of-medicine-and-health-sciences,46.3144754,11.0480288,,
,Madderns Patent & Trade Mark Attorneys,,,,,,,Madderns Patent & Trade Mark Attorneys,http://www.madderns.com.au/,46.3144754,11.0480288,,
non TGA autologous MSC transplant,Magellan,physician exemption for minimal manipulation,www.magellanstemcells.com.au,,,,,,www.magellanstemcells.com.au,46.3144754,11.0480288,,
,McCullough Robertson Lawyers,,,,,,,McCullough Robertson Lawyers,https://www.mccullough.com.au/,46.3144754,11.0480288,,
,Medtechnique Consulting,,,,,,,Medtechnique Consulting,http://www.medtechnique.com.au/,46.3144754,11.0480288,,
,Meizon Innovation,,,,,,,Meizon Innovation,https://www.linkedin.com/company/meizon-innovation-pty-ltd/,46.3144754,11.0480288,,
,mexec,,,,,,,mexec,http://www.mexeccareers.com/,46.3144754,11.0480288,,
,Microba Pty Ltd,,,,,,,Microba Pty Ltd,http://www.microba.com/,46.3144754,11.0480288,,
,Microbio,,,,,,,Microbio,http://microbio.com.au/,46.3144754,11.0480288,,
,MINIMUM bio Pty Ltd,,,,,,,MINIMUM bio Pty Ltd,https://minimumbio.com/,46.3144754,11.0480288,,
,Monash College,,,Melbourne,,,,Monash College,https://www.monashcollege.edu.au/,46.3144754,11.0480288,,
,Monash Innovation,,,Melbourne,,,,Monash Innovation,http://monash.edu/industry/,46.3144754,11.0480288,,
Funding sources,MRFF,,https://www.health.gov.au/our-work/medical-research-future-fund,,,,,,https://www.health.gov.au/our-work/medical-research-future-fund,46.3144754,11.0480288,,
,Murdoch Children's Research Institute,,,Melbourne,,,,Murdoch Children's Research Institute,http://www.mcri.edu.au/,46.3144754,11.0480288,,
,National Foundation for Medical Research and Innovation,,,,,,,National Foundation for Medical Research and Innovation,http://www.nfmri.org.au/,46.3144754,11.0480288,,
,Neo-Bionica,,,,,,,Neo-Bionica,https://neo-bionica.com/,46.3144754,11.0480288,,
,Newline Australia Insurance Pty Ltd,,,,,,,Newline Australia Insurance Pty Ltd,http://www.connectliability.com.au/,46.3144754,11.0480288,,
Clinical trials of Advanced Medicines,NKarta Therapeutics,,https://www.nkartatx.com/,,,,,,https://www.nkartatx.com/,46.3144754,11.0480288,,
Government representatives,NSW,,Health and Medical Research,Sydney,,Senior Medical Advisor,Laura Collie,,,46.3144754,11.0480288,,
Government representatives,NSW,,Health Infrastructure,Sydney,,"Project Director, NSW VVMF Facility",Phillip King,,,46.3144754,11.0480288,,
,NSW Government,,,Sydney,,,,NSW Government,http://investment.nsw.gov.au/,46.3144754,11.0480288,,
Supporting initiatives,NSW Stem Cell Network,professional community with an interest in the potential of stem cells to improve the human condition.,https://www.stemcellnetwork.org.au/,Sydney,,,Rachel Shparberg,,https://www.stemcellnetwork.org.au/,46.3144754,11.0480288,,
,Paradigm BioPharmaceuticals Ltd,,,,,,,Paradigm BioPharmaceuticals Ltd,https://paradigmbiopharma.com/,46.3144754,11.0480288,,
Supporting initiatives,PDA Australian chapter,"International community of scientists advancing pharmaceutical technology by connecting people, science and regulation.",https://www.pda.org/chapter-detail/asia-pacific-australia,,,,Micheal Schafferius,,https://www.pda.org/chapter-detail/asia-pacific-australia,46.3144754,11.0480288,,
Advanced Medicine tools providers - with physical presence in Australia,Peprotech,,,,,,,,,46.3144754,11.0480288,,
Advanced Medicine tools providers - with physical presence in Australia,Peprotech (purchased Thermo),cGMP recombinant proteins,,,,,,,,46.3144754,11.0480288,,
INTERNATIONAL BUT KNOWN TO SPONSOR,Pfansteihl,"cGMP produced, high purity, injectable grade excipients and bioprocessing solutions",https://pfanstiehl.com/,,,,Hem Sunder Reddy,,https://pfanstiehl.com/,46.3144754,11.0480288,,
Supporting initiatives,Pharmaceutical Society of Australia,"Government-recognised peak national professional pharmacy organisation representing all of Australias 37,000+ pharmacists working in all sectors and across all locations.",https://www.psa.org.au/,,,,,,https://www.psa.org.au/,46.3144754,11.0480288,,
,Pharmsite Pty Limited,,,,,,,Pharmsite Pty Limited,http://www.pharmsite.com.au/,46.3144754,11.0480288,,
Institutions treating patients with CGT pharmaceuticals,Prince Charles Hospital,,"virus specific T cells, MSC, allo CAR T",,,"Prof Rajiv Khanna, Daniel Chambers, Aditi Mehta, DO","Prof Rajiv Khanna, Daniel Chambers, Aditi Mehta, DO",,,46.3144754,11.0480288,,
Commercialisation strategy,Regulatory consulting,,,,,,,,,46.3144754,11.0480288,,
Other RM product developers,ReNerve,nerve repair sheaths,https://renerve.com.au/,,,,,,https://renerve.com.au/,46.3144754,11.0480288,,
INTERNATIONAL BUT KNOWN TO SPONSOR,SGS Vitrology,viral screening for pharmaceutical release,https://www.sgs.com/en/service-groups/biosafety-and-characterization-testing-solutions-for-biologics,,,,Philippe Grimm,,https://www.sgs.com/en/service-groups/biosafety-and-characterization-testing-solutions-for-biologics,46.3144754,11.0480288,,
,Snoretox Ltd,,,,,,,Snoretox Ltd,http://www.snoretox.com/,46.3144754,11.0480288,,
,Starpharma Holdings Limited,,,,,,,Starpharma Holdings Limited,http://www.starpharma.com/,46.3144754,11.0480288,,
Clinical CRO,Supply chain services,,,,,,,,,46.3144754,11.0480288,,
,Syntara,,,,,,,Syntara,https://www.pharmaxis.com.au/,46.3144754,11.0480288,,
,Teleaus Bioscience Health Pty Ltd (Genofax),,,,,,,Teleaus Bioscience Health Pty Ltd (Genofax),https://www.genofax.com/,46.3144754,11.0480288,,
,"The University of Newcastle, Knowledge Exchange and Enterprise (KEE)",,,,,,,"The University of Newcastle, Knowledge Exchange and Enterprise (KEE)",https://www.newcastle.edu.au/engage/business-and-industry/knowledge-exchange-and-enterprise,46.3144754,11.0480288,,
INTERNATIONAL BUT KNOWN TO SPONSOR,ToolGen,gene editing,http://www.toolgen.com/eng,,,,,,http://www.toolgen.com/eng,46.3144754,11.0480288,,
,Traders Macquarie Pty Ltd,,,,,,,Traders Macquarie Pty Ltd,,46.3144754,11.0480288,,
,Uniquest Pty Ltd,,,,,,,Uniquest Pty Ltd,http://www.uniquest.com.au/,46.3144754,11.0480288,,
,"University of Wollongong - Faculty of Science, Medicine and Health",,,,,,,"University of Wollongong - Faculty of Science, Medicine and Health",https://www.uow.edu.au/science-medicine-health/,46.3144754,11.0480288,,
,UNSW Industry & Innovation,,,,,,,UNSW Industry & Innovation,https://www.knowledgeexchange.unsw.edu.au/,46.3144754,11.0480288,,
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,"202 Water St, Excelsior, MN 55331, USA",,,,Harvest Integrated Research Organization Australia Pty Limited (HiRO),https://en.harvestiro.com/,44.9034079,-93.56637441,,
,Integrated DNA Technologies Australia Pty Ltd,,,"1710 Commercial Park, Coralville, Iowa 52241 USA",,,,Integrated DNA Technologies Australia Pty Ltd,http://www.idtdna.com/,41.69590154,-91.61407986,,
,ide Group,,,"5066 West Chester Pike, Newtown Square PA 19073 USA",,,,ide Group,,39.9861022,-75.4094439,,
,"Collaborative Drug Discovery, Inc",,,"718 7th St NW, Washington, DC 20001",,,,"Collaborative Drug Discovery, Inc",https://www.collaborativedrug.com/,38.8991309,-77.0220918,,
,Fortrea,,,"8 Moore Drive, Durham, NC 27703",,,,Fortrea,https://www.fortrea.com/,35.9350542,-78.86598115,,
,Parexel International Pty Ltd,,,"2520 Meridian Parkway,, Durham, NC 27713",,,,Parexel International Pty Ltd,https://www.parexel.com/,35.9115293,-78.8975891,,
,Nutromics,,,"9276 Scranton Rd, San Diego, CA 92121, USA",,,,Nutromics,,32.891893,-117.202388,,
,Shengsheng Australia Pty Ltd,,,"Building 3, #327 Jifeng Road, Minhang District, Shanghai",,,,Shengsheng Australia Pty Ltd,https://www.ssintnl.com/,31.2415668,121.2502188,,
,SpeeDx Pty Ltd,,,"1400 Barbara Jordan Boulevard, Austin, TX 78723, United States",,,,SpeeDx Pty Ltd,,30.305211,-97.704803,,
,Douglas Pharmaceuticals Ltd,,,"2 Te Pai Pl, Henderson, Auckland 0610, New Zealand",,,,Douglas Pharmaceuticals Ltd,https://www.douglas.co.nz/,-36.8624998,174.6346086,,
Companies developing Advanced Medicines,BioOra,,,NZ,,,,,,-41.5000831,172.8344077,,
TGA licensed GMP facilities (and process development),Bioviros (NZ - not TGA),,https://bioviros.com/,New Zealand,,,,,https://bioviros.com/,-41.5000831,172.8344077,,
,Marken,,,"Unit 1/2 Distribution Lane, Sockburn, Christchurch, 8042 New Zealand",,,,Marken,,-43.54037925,172.5487134,,
