Companies,Companies_full,Website2,Location,
Wallonia.be - Export & Investment (Belgium),Wallonia.be - Export & Investment (Belgium),http://www.investinwallonia.be/?lang=en,"Avenue des Dessus de lives, 6�B-5101�Namur-Loyers",
The Walter & Eliza Hall Institute of Medical Research,The Walter & Eliza Hall Institute of Medical Research,https://www.wehi.edu.au/,"1G Royal Parade, Parkville, Victoria 3052, Australia",
Wellumio,Wellumio,https://www.wellumio.com/,"134 Main St, Bacchus Marsh, VIC 3340 Australia",
,Wellumio,,"Level 1, 155 The Terrace, Wellington Central, New Zealand",
West Pharmaceutical Services Singapore PTE�Ltd,West Pharmaceutical Services Singapore PTE�Ltd,http://www.westpharma.com/,"530 Herman O. West Drive, Exton, PA 19341",
Wrays,Wrays,https://www.wrays.com.au/,"Level 20, 1 Castlereagh Street, Sydney, NSW 2000",
,Wrays,,"Level 20, 600 Bourke Street Melbourne, VIC 3000",
,Wrays,,"Level 7, 863 Hay Street, Perth WA 6000",
,Wrays,,"78 North Terrace, Kent Town,�SA 5067",
Yuhan ANZ,Yuhan ANZ,http://yuhan-anz.com/,"Level 7, 33 King William St, Adelaide 5000, South Australia",
Zuellig Pharma SSG Australia,Zuellig Pharma SSG Australia,https://www.zuelligpharma-australia.com.au/,"15 Lum St, Export Park, SA 5950",
